Feature,Instance,LocX,LocY,Checkin
A,129,804282.51,749132.19,320
A,130,901853.41,839566.95,1170
A,130,901853.41,839566.95,1170
A,131,602190.84,845021.83,3882
A,131,602190.84,845021.83,3882
A,132,1256609.21,867891.53,39
A,132,1256609.21,867891.53,39
A,133,1111427.31,951741.5,2153
A,133,1111427.31,951741.5,2153
A,134,1071169.36,974411.22,199
A,134,1071169.36,974411.22,199
A,135,1257800.93,857638.12,4628
A,135,1257800.93,857638.12,4628
A,136,1050240.7,942118.09,938
A,136,1050240.7,942118.09,938
A,137,863812.95,870779.03,476
A,137,863812.95,870779.03,476
A,138,1038826.9,762010.72,2338
A,138,1038826.9,762010.72,2338
A,139,1220028.89,996996.69,362
A,139,1220028.89,996996.69,362
A,140,1120354.09,990275.7,3647
A,140,1120354.09,990275.7,3647
A,141,906584.66,625873.8,1235
A,141,906584.66,625873.8,1235
A,142,1107672.83,971616.72,609
A,142,1107672.83,971616.72,609
A,143,952549.51,876481.3,6520
A,143,952549.51,876481.3,6520
A,144,922253.03,746797.11,2264
A,144,922253.03,746797.11,2264
A,145,930240.91,770886.16,5029
A,145,930240.91,770886.16,5029
A,146,1295090.71,862881.85,789
A,146,1295090.71,862881.85,789
A,147,779228.49,869306.2,883
A,147,779228.49,869306.2,883
A,148,856975.58,983415.81,9067
A,148,856975.58,983415.81,9067
A,149,1109251.02,754476.16,1494
A,149,1109251.02,754476.16,1494
A,150,929941.31,632134.75,1076
A,150,929941.31,632134.75,1076
A,151,890933.0,880907.39,1560
A,151,890933.0,880907.39,1560
A,152,1015415.67,848631.72,3105
A,152,1015415.67,848631.72,3105
A,153,923316.67,755754.94,797
A,153,923316.67,755754.94,797
A,154,1098528.86,989907.03,1748
A,154,1098528.86,989907.03,1748
A,155,614705.04,525039.2,414
A,155,614705.04,525039.2,414
A,156,874127.48,775128.86,803
A,156,874127.48,775128.86,803
A,157,713341.81,967217.08,574
A,157,713341.81,967217.08,574
A,158,858293.16,830254.08,1607
A,158,858293.16,830254.08,1607
A,159,1054642.28,860652.4,1829
A,159,1054642.28,860652.4,1829
A,160,942212.71,892417.46,1343
A,160,942212.71,892417.46,1343
A,161,1104066.47,1020412.47,649
A,161,1104066.47,1020412.47,649
A,162,885305.17,824639.77,102
A,162,885305.17,824639.77,102
A,163,978363.12,859632.37,640
A,163,978363.12,859632.37,640
A,164,944899.1,654376.89,2207
A,164,944899.1,654376.89,2207
A,165,1254713.59,909479.29,6912
A,165,1254713.59,909479.29,6912
A,166,835628.15,777761.53,473
A,166,835628.15,777761.53,473
A,167,943039.12,787890.1,550
A,167,943039.12,787890.1,550
A,168,1188703.29,951103.2,18
A,168,1188703.29,951103.2,18
A,169,856007.73,783455.24,1064
A,169,856007.73,783455.24,1064
A,170,657503.48,954460.58,1742
A,170,657503.48,954460.58,1742
A,171,1002974.98,700217.08,2459
A,171,1002974.98,700217.08,2459
A,172,996974.04,727012.05,1930
A,172,996974.04,727012.05,1930
A,173,892611.43,823624.47,7056
A,173,892611.43,823624.47,7056
A,174,584041.02,1080513.9,1135
A,174,584041.02,1080513.9,1135
A,175,1188512.83,998916.98,5167
A,175,1188512.83,998916.98,5167
A,176,598544.39,1077264.03,2792
A,176,598544.39,1077264.03,2792
A,177,1186457.95,956489.15,1208
A,177,1186457.95,956489.15,1208
A,178,1164835.42,1023477.29,1067
A,178,1164835.42,1023477.29,1067
A,179,1212747.13,851240.49,2446
A,179,1212747.13,851240.49,2446
A,180,1109341.24,969984.72,786
A,180,1109341.24,969984.72,786
A,181,1046941.75,943850.08,161
A,181,1046941.75,943850.08,161
A,182,884713.76,876732.21,2220
A,182,884713.76,876732.21,2220
A,183,1021646.04,1038028.31,430
A,183,1021646.04,1038028.31,430
A,184,841487.64,914220.86,2386
A,184,841487.64,914220.86,2386
A,185,1254308.18,994568.19,1613
A,185,1254308.18,994568.19,1613
A,186,1050038.0,739985.68,251
A,186,1050038.0,739985.68,251
A,187,823645.21,984638.86,290
A,187,823645.21,984638.86,290
A,188,769265.91,975067.96,511
A,188,769265.91,975067.96,511
A,189,1133112.21,1055264.3,1073
A,189,1133112.21,1055264.3,1073
A,190,748739.32,519513.32,1019
A,190,748739.32,519513.32,1019
A,191,791338.39,331112.81,5258
A,191,791338.39,331112.81,5258
A,192,861832.69,943735.3,2072
A,192,861832.69,943735.3,2072
A,193,1009083.95,927141.73,228
A,193,1009083.95,927141.73,228
A,194,454670.05,698871.76,2330
A,194,454670.05,698871.76,2330
A,195,927504.4,628856.48,1232
A,195,927504.4,628856.48,1232
A,196,894309.92,883103.67,6
A,196,894309.92,883103.67,6
A,197,1135839.81,1013321.64,1098
A,197,1135839.81,1013321.64,1098
A,198,1184692.64,978406.49,6598
A,198,1184692.64,978406.49,6598
A,199,934244.88,888950.7,995
A,199,934244.88,888950.7,995
A,200,997996.47,766379.6,1890
A,200,997996.47,766379.6,1890
A,201,1040303.74,800061.46,1352
A,201,1040303.74,800061.46,1352
A,202,971863.22,837036.74,2376
A,202,971863.22,837036.74,2376
A,203,810662.12,1025632.85,313
A,203,810662.12,1025632.85,313
A,204,953785.79,777532.41,3433
A,204,953785.79,777532.41,3433
A,205,598950.91,1050509.67,3200
A,205,598950.91,1050509.67,3200
A,206,1074953.91,948626.65,157
A,206,1074953.91,948626.65,157
A,207,1080702.03,979085.16,873
A,207,1080702.03,979085.16,873
A,208,1261916.27,999702.93,6479
A,208,1261916.27,999702.93,6479
A,209,916908.1,743746.11,95
A,209,916908.1,743746.11,95
A,210,926492.0,773951.71,1949
A,210,926492.0,773951.71,1949
